id,source,relation,target
218,3756,hypernym,3776
219,3758,hypernym,1000051
220,3759,hypernym,1000138
221,3760,hypernym,1000051
222,3763,hypernym,1000051
223,3765,hypernym,1000051
224,3766,hypernym,1000051
225,3767,hypernym,1000051
226,3768,hypernym,1000051
227,3769,hypernym,1000051
228,3770,hypernym,1000051
229,3773,hypernym,1000051
230,3774,hypernym,1000051
231,3775,hypernym,1000051
232,3776,hypernym,1000051
233,3777,hypernym,1000051
234,3957,hypernym,1000120
235,3982,hypernym,1000032
236,4187,hypernym,1000108
237,4190,hypernym,1000108
238,4237,hypernym,1000108
239,4238,hypernym,1512
240,4249,hypernym,16047
241,4615,hypernym,7641
242,4616,hypernym,18709
243,4617,hypernym,4743
244,4618,hypernym,1000166
245,4619,hypernym,1000166
246,4620,hypernym,4615
247,4621,hypernym,4615
248,4622,hypernym,4616
249,4624,hypernym,1000021
250,4626,hypernym,4616
251,4627,hypernym,4615
252,4628,hypernym,1000165
253,4629,hypernym,1000153
254,4630,hypernym,4616
255,4631,hypernym,4615
256,4632,hypernym,4615
257,4633,hypernym,1000172
258,4634,hypernym,4615
259,4635,hypernym,1000015
260,4636,hypernym,4615
261,4650,hypernym,9822
262,4674,hypernym,1000020
263,4676,hypernym,1000025
264,4678,hypernym,1000172
265,4682,hypernym,1000150
266,4683,hypernym,1000034
267,4687,hypernym,1000030
268,4713,hypernym,1000036
269,4717,hypernym,1000036
270,4719,hypernym,1000021
271,4740,hypernym,1000128
272,4741,hypernym,1000128
273,4742,hypernym,1000128
274,4743,hypernym,1000093
275,4755,hypernym,1000172
276,4760,hypernym,1000033
277,5002,hypernym,1000064
278,5074,hypernym,1000108
279,5103,hypernym,18933
280,5326,hypernym,1000027
281,5340,hypernym,1000056
282,5466,hypernym,15833
283,5587,hypernym,1000042
284,5608,hypernym,1000025
285,5646,hypernym,1000108
286,5647,hypernym,10855
287,5744,hypernym,1000072
288,5760,hypernym,1000025
289,5761,hypernym,18712
290,5762,hypernym,1000140
291,5763,hypernym,5760
292,5764,hypernym,5760
293,5765,hypernym,5760
294,5766,hypernym,5760
295,5767,hypernym,1000108
296,5768,hypernym,5760
297,5769,hypernym,5760
298,5770,hypernym,5764
299,5771,hypernym,5760
300,5772,hypernym,18711
301,5774,hypernym,1000059
302,5776,hypernym,1000059
303,5818,hypernym,1000042
304,5855,hypernym,1000117
305,6034,hypernym,1000049
306,6043,hypernym,1000016
307,6058,hypernym,1000035
308,6149,hypernym,1000034
309,6158,hypernym,1000136
310,6161,hypernym,1000172
311,6218,hypernym,1000074
312,6241,hypernym,1000147
313,6411,hypernym,6428
314,6413,hypernym,6411
315,6414,hypernym,1000062
316,6415,hypernym,6411
317,6416,hypernym,6411
318,6417,hypernym,6411
319,6420,hypernym,1000062
320,6421,hypernym,1000172
321,6422,hypernym,1000002
322,6425,hypernym,6411
323,6427,hypernym,1000172
324,6428,hypernym,1000108
325,6430,hypernym,1000172
326,6432,hypernym,1000062
327,6433,hypernym,6411
328,6434,hypernym,6411
329,6436,hypernym,6411
330,6965,hypernym,1000172
331,6973,hypernym,783
332,6985,hypernym,1000172
333,7032,hypernym,18712
334,7413,hypernym,1000042
335,7432,hypernym,7413
336,7457,hypernym,7413
337,7468,hypernym,7413
338,7474,hypernym,7413
339,7475,hypernym,7413
340,7477,hypernym,7413
341,7523,hypernym,1000113
342,7538,hypernym,1000084
343,7543,hypernym,722
344,7546,hypernym,1000070
345,7551,hypernym,1000069
346,7586,hypernym,1000135
347,7641,hypernym,13870
348,7643,hypernym,7647
349,7644,hypernym,7641
350,7645,hypernym,7641
351,7646,hypernym,7641
352,7647,hypernym,7641
353,7648,hypernym,18709
354,7649,hypernym,7641
355,7651,hypernym,18136
356,7672,hypernym,1000098
357,7716,hypernym,15833
358,7792,hypernym,1000166
359,7793,hypernym,1768
360,7799,hypernym,1000108
361,7800,hypernym,1000108
362,7810,hypernym,1000103
363,8049,hypernym,18712
364,8066,hypernym,1000058
365,8067,hypernym,2340
366,8068,hypernym,8066
367,8070,hypernym,7792
368,8071,hypernym,8067
369,8140,hypernym,15833
370,8155,hypernym,1000024
371,8157,hypernym,1000108
372,8158,hypernym,8157
373,8299,hypernym,1000108
374,8300,hypernym,8299
375,8334,hypernym,1000114
376,8479,hypernym,1000147
377,8489,hypernym,18712
378,8530,hypernym,1000074
379,8560,hypernym,1000076
380,8590,hypernym,1000025
381,8597,hypernym,1000077
382,8610,hypernym,8590
383,8614,hypernym,8590
384,8630,hypernym,1000124
385,8631,hypernym,1000178
386,8679,hypernym,1000139
387,8687,hypernym,8679
388,8692,hypernym,1000136
389,8776,hypernym,1000001
390,9062,hypernym,1000020
391,9075,hypernym,1000137
392,9092,hypernym,1000172
393,9123,hypernym,1000172
394,9171,hypernym,1000178
395,9223,hypernym,1000034
396,9240,hypernym,1000172
397,9254,hypernym,15833
398,9322,hypernym,2838
399,9467,hypernym,1000026
400,9496,hypernym,1000026
401,9512,hypernym,20274
402,9555,hypernym,1000108
403,9559,hypernym,1000057
404,9580,hypernym,1000172
405,9594,hypernym,1000082
406,9597,hypernym,1000011
407,9675,hypernym,9717
408,9704,hypernym,1000178
409,9707,hypernym,1000172
410,9717,hypernym,1000172
411,9788,hypernym,1000043
412,9789,hypernym,18712
413,9790,hypernym,18712
414,9793,hypernym,9790
415,9794,hypernym,9789
416,9795,hypernym,9790
417,9796,hypernym,9789
418,9797,hypernym,1000172
419,9798,hypernym,9790
420,9822,hypernym,1000065
421,9823,hypernym,9822
422,9824,hypernym,7413
423,9963,hypernym,12350
424,9976,hypernym,1000134
425,9978,hypernym,1000151
426,9988,hypernym,1000083
427,10044,hypernym,1000172
428,10049,hypernym,1000177
429,10107,hypernym,1000085
430,10108,hypernym,1000030
431,10111,hypernym,1000025
432,10112,hypernym,1000172
433,10114,hypernym,1000034
434,10115,hypernym,1000085
435,10120,hypernym,1000025
436,10121,hypernym,4676
437,10122,hypernym,1000085
438,10123,hypernym,1000034
439,10124,hypernym,4676
440,10157,hypernym,1000174
441,10174,hypernym,1000060
442,10175,hypernym,1000162
443,10192,hypernym,1000112
444,10239,hypernym,1000178
445,10264,hypernym,15833
446,10328,hypernym,1000088
447,10504,hypernym,1000025
448,10514,hypernym,1000136
449,10688,hypernym,1236
450,10721,hypernym,1000091
451,10735,hypernym,1000172
452,10771,hypernym,1000085
453,10799,hypernym,1000018
454,10855,hypernym,1000108
455,10856,hypernym,1000172
456,10858,hypernym,12351
457,10869,hypernym,1000087
458,10929,hypernym,1000108
459,10953,hypernym,1000026
460,11119,hypernym,1000115
461,11242,hypernym,1000037
462,11248,hypernym,1000010
463,11249,hypernym,1000143
464,11256,hypernym,1000010
465,11261,hypernym,1000010
466,11301,hypernym,11425
467,11391,hypernym,1000094
468,11425,hypernym,1000172
469,11426,hypernym,11425
470,11432,hypernym,1000029
471,11435,hypernym,11425
472,11436,hypernym,11425
473,11437,hypernym,11425
474,11438,hypernym,11425
475,11439,hypernym,11425
476,11441,hypernym,11425
477,11603,hypernym,1000021
478,11610,hypernym,11618
479,11613,hypernym,18711
480,11617,hypernym,11618
481,11618,hypernym,18712
482,11698,hypernym,16047
483,11744,hypernym,15833
484,11757,hypernym,1000096
485,11771,hypernym,1000079
486,11772,hypernym,9822
487,11790,hypernym,1000034
488,11859,hypernym,1000172
489,11888,hypernym,1000028
490,11918,hypernym,1000080
491,12044,hypernym,1000025
492,12053,hypernym,18712
493,12054,hypernym,1000018
494,12055,hypernym,12054
495,12056,hypernym,14453
496,12057,hypernym,1000102
497,12058,hypernym,12053
498,12059,hypernym,12054
499,12060,hypernym,12053
500,12061,hypernym,1000108
501,12062,hypernym,1000099
502,12063,hypernym,1000103
503,12067,hypernym,12063
504,12158,hypernym,1000026
505,12159,hypernym,1000025
506,12160,hypernym,12158
507,12161,hypernym,12158
508,12162,hypernym,12158
509,12166,hypernym,1000042
510,12167,hypernym,1000116
511,12178,hypernym,1000047
512,12230,hypernym,1000172
513,12234,hypernym,1000179
514,12236,hypernym,9822
515,12237,hypernym,1000045
516,12257,hypernym,16047
517,12308,hypernym,11432
518,12309,hypernym,18712
519,12310,hypernym,1000172
520,12311,hypernym,1000106
521,12312,hypernym,12737
522,12313,hypernym,1000172
523,12330,hypernym,1000108
524,12346,hypernym,18711
525,12350,hypernym,1000098
526,12351,hypernym,2266
527,12388,hypernym,1000026
528,12389,hypernym,1000107
529,12390,hypernym,12388
530,12391,hypernym,12388
531,12393,hypernym,12388
532,12394,hypernym,12388
533,12423,hypernym,1000171
534,12427,hypernym,1000108
535,12444,hypernym,18711
536,12455,hypernym,1000018
537,12456,hypernym,1000063
538,12492,hypernym,1000110
539,12499,hypernym,1000115
540,12501,hypernym,1000072
541,12510,hypernym,18711
542,12511,hypernym,18709
543,12512,hypernym,18711
544,12533,hypernym,1000086
545,12608,hypernym,1000111
